stride: 1, throughput: 1770.82
stride: 2, throughput: 1751.45
stride: 3, throughput: 1708.3
stride: 4, throughput: 1667.15
stride: 5, throughput: 1633.91
stride: 6, throughput: 1633.76
stride: 7, throughput: 1644.01
stride: 8, throughput: 1582.77
stride: 9, throughput: 1662.77
stride: 10, throughput: 1428.93
stride: 11, throughput: 1687.87
stride: 12, throughput: 1724.18
stride: 13, throughput: 1726.08
stride: 14, throughput: 1743.77
stride: 15, throughput: 1684.95
stride: 16, throughput: 1645.63
stride: 17, throughput: 1747.05
stride: 18, throughput: 1756.03
stride: 19, throughput: 1665.09
stride: 20, throughput: 1748.63
stride: 21, throughput: 1719.92
stride: 22, throughput: 1704.87
stride: 23, throughput: 1698.48
stride: 24, throughput: 1734.75
stride: 25, throughput: 1739.21
stride: 26, throughput: 1748.24
stride: 27, throughput: 1612.94
stride: 28, throughput: 1700
stride: 29, throughput: 1721.53
stride: 30, throughput: 1726.82
stride: 31, throughput: 1705.5
stride: 32, throughput: 1649.52
stride: 33, throughput: 1672.71
stride: 34, throughput: 1674.23
stride: 35, throughput: 1702.21
stride: 36, throughput: 1733.16
stride: 37, throughput: 1717.64
stride: 38, throughput: 1726.07
stride: 39, throughput: 1717.76
stride: 40, throughput: 1709.92
stride: 41, throughput: 1715.51
stride: 42, throughput: 1704.11
stride: 43, throughput: 1715.08
stride: 44, throughput: 1699.34
stride: 45, throughput: 1675.76
stride: 46, throughput: 1658.36
stride: 47, throughput: 1632.15
stride: 48, throughput: 1657.29
stride: 49, throughput: 1689.46
stride: 50, throughput: 1682.6
stride: 51, throughput: 1672.69
stride: 52, throughput: 1662.31
stride: 53, throughput: 1647.07
stride: 54, throughput: 1653.84
stride: 55, throughput: 1631.04
stride: 56, throughput: 1673.13
stride: 57, throughput: 1524.38
stride: 58, throughput: 1655.64
stride: 59, throughput: 1668.27
stride: 60, throughput: 1661.39
stride: 61, throughput: 1674.39
stride: 62, throughput: 1640.51
stride: 63, throughput: 1662.62
